Record Number,Aspect Value,Aspect Name
1787,Gayle,B-Produktlinie
1787,Nike,B-Marke
1787,Air Force 1,B-Produktlinie
1787,mid,B-Schuhschaft-Typ
1787,-,B-No Tag
1787,heavy,I-No Tag
1787,used,I-No Tag
1787,",",I-No Tag
1787,Gr,I-No Tag
1787,.,I-No Tag
1787,44,B-EU-Schuhgröße
1787,(,B-No Tag
1787,10,B-UK-Schuhgröße
1787,),B-No Tag
1787,",",I-No Tag
1787,Sk8erboy,B-Produktlinie
1788,in,B-No Tag
1788,Portugal,B-Herstellungsland und -region
1788,in,B-No Tag
1788,Handarbeit,B-Besonderheiten
1788,gefertigt,B-No Tag
1788,.,I-No Tag
1788,Frauen,B-Abteilung
1788,schuhe,B-No Tag
1788,von,I-No Tag
1788,Clamp,B-Marke
1789,Herren,B-Abteilung
1789,Fitness Running,B-Aktivität
1789,Sneaker,B-Stil
1789,Turnschuhe Sportschuhe Laufschuhe Freizeitschuhe,B-Produktart
1790,NIKE,B-Marke
1790,Air Max,B-Produktlinie
1790,plus tn 3,B-Modell
1790,Größe,B-No Tag
1790,"45,5",B-EU-Schuhgröße
1790,/,B-No Tag
1790,"US11 ,5",B-US-Schuhgröße
1791,ADIDAS,B-Marke
1791,NMD_R1,B-Modell
1791,PRIMEBLUE,B-Farbe
1791,GZ9261,B-Herstellernummer
1791,SNEAKER,B-Stil
1791,HERRENSCHUHE,B-Abteilung
1791,LAUFSCHUHE,B-Produktart
1792,Adidas,B-Marke
1792,Marathon,B-Aktivität
1792,86,B-Modell
1792,Spezial,B-No Tag
1792,Sneaker,B-Stil
1792,Freizeitschuhe Sportschuhe,B-Produktart
1792,40 41 42 43 44 45,B-EU-Schuhgröße
1793,Reebok,B-Marke
1793,EX-O-FIT,B-Modell
1793,HI,B-Schuhschaft-Typ
1793,Women Mens,B-Abteilung
1793,Sneakr,B-Stil
1793,3478,B-Herstellernummer
1793,Black Schwarz,B-Farbe
1793,Gr,B-No Tag
1793,:36,B-EU-Schuhgröße
1793,Classic,B-Produktlinie
1793,Princess,B-Modell
1794,KAPPA,B-Marke
1794,MANGAN,B-Modell
1794,242764,B-Herstellernummer
1794,Herren Damen UNISEX,B-Abteilung
1794,High Top,B-Schuhschaft-Typ
1794,Sneaker,B-Stil
1794,Turnschuhe,B-Produktart
1794,Gr,B-No Tag
1794,.,I-No Tag
1794,36-46,B-EU-Schuhgröße
1795,Neu,B-No Tag
1795,original,I-No Tag
1795,Damenschuhe,B-Abteilung
1795,Fila,B-Marke
1795,Ray Tracer,B-Modell
1795,wmn,B-Abteilung
1795,1010884-25Y,B-Herstellernummer
1795,Sneaker,B-Stil
1795,Turnschuhe,B-Produktart
1796,Art 704,B-Modell
1796,Neon,B-Farbe
1796,Turnschuhe Schuhe,B-Produktart
1796,Sneaker,B-Stil
1796,Sportschuhe,B-Produktart
1796,Neu,B-No Tag
1796,Herren,B-Abteilung
1797,Asics,B-Marke
1797,Gel Kinsei,B-Produktlinie
1797,6,B-Modell
1797,LaufschuheT642N,B-Obscure
1797,Grösse,B-No Tag
1797,49,B-EU-Schuhgröße
1797,UK 13,B-UK-Schuhgröße
1797,Herren,B-Abteilung
1797,Sonderpreis,B-No Tag
1797,!,I-No Tag
1797,TOP,I-No Tag
1797,NEU,I-No Tag
1798,NEU,B-No Tag
1798,SKECHERS,B-Marke
1798,Damen,B-Abteilung
1798,Fitness,B-Aktivität
1798,Sneakers Loafer,B-Stil
1798,Slipper,B-No Tag
1798,Stoff,B-Obermaterial
1798,GO WALK,B-Produktlinie
1798,4 ACHIEVER,B-Modell
1798,Grau,B-Farbe
1799,Puma,B-Marke
1799,Trinomic XS500 X Miitaly,B-Modell
1799,Herren,B-Abteilung
1799,Turnschuhe,B-Produktart
1799,Braune,B-Farbe
1799,Hergestellt,B-No Tag
1799,in,I-No Tag
1799,Italien,B-Herstellungsland und -region
1800,Nike,B-Marke
1800,SB Dunk,B-Produktlinie
1800,Low,B-Schuhschaft-Typ
1800,Heineken,B-Modell
1800,(,B-No Tag
1800,2003,B-Erscheinungsjahr
1800,),B-No Tag
1800,-,I-No Tag
1800,EU44,B-EU-Schuhgröße
1800,US10,B-US-Schuhgröße
1800,-,B-No Tag
1800,OG,B-Modell
1800,None,B-No Tag
1800,-,I-No Tag
1800,Used,I-No Tag
1801,Damenschuhe,B-Abteilung
1801,Vty,B-Marke
1801,Größe,B-No Tag
1801,39,B-EU-Schuhgröße
1802,Adidas,B-Marke
1802,ZX 4000 4D Futurecraft alphaedge,B-Modell
1802,y3,I-Modell
1802,runner,B-Produktart
1802,y-3,B-Modell
1802,ash,B-Farbe
1802,prism,B-Modell
1802,yeezy ultra,B-Produktlinie
1803,Jordan 1,B-Produktlinie
1803,High,B-Schuhschaft-Typ
1803,',B-No Tag
1803,Game Royal,B-Modell
1803,',B-No Tag
1803,|,I-No Tag
1803,US 7Y,B-US-Schuhgröße
1803,(,B-No Tag
1803,GS,B-Abteilung
1803,),B-No Tag
1803,-,I-No Tag
1803,Eu 40,B-EU-Schuhgröße
1803,VNDS,B-No Tag
1804,adidas,B-Marke
1804,Originals,B-Produktlinie
1804,Nite Jogger,B-Modell
1804,Sport Schuh Turnschuhe,B-Produktart
1804,Sneaker,B-Stil
1804,EF5414,B-Herstellernummer
1804,Neon Grün,B-Farbe
1805,Zeha Berlin,B-Modell
1805,Carl Häßner Club,B-Marke
1805,Schuhe,B-Produktart
1805,braun,B-Farbe
1805,Sneaker,B-Stil
1805,Rennrad,B-No Tag
1805,Singlespeed,I-No Tag
1805,Fixi,I-No Tag
1806,Leder,B-Obermaterial
1806,Herren,B-Abteilung
1806,Stiefel Sportschuh,B-Produktart
1806,Winter,B-Jahreszeit
1806,Schuhe,B-Produktart
1806,Outdoor,B-Anlass
1806,Boots,B-Produktart
1806,Warm Gefüttert,B-Besonderheiten
1806,S_D45,B-No Tag
1807,DOCKERS by Gerli,B-Marke
1807,40TH201-790640,B-Herstellernummer
1807,Canvas,B-Gewebeart
1807,Damen,B-Abteilung
1807,Sneaker,B-Stil
1807,Schuhe,B-Produktart
1807,Türkis,B-Farbe
1808,Sportschuhe,B-Produktart
1808,Sneaker,B-Stil
1808,Turnschuhe Freizeitschuhe,B-Produktart
1808,Herren Damen,B-Abteilung
1808,Schnürer,B-Verschluss
1808,Neu,B-No Tag
1808,17170,I-No Tag
1809,Puma,B-Marke
1809,Trinomic XT-1 NYC,B-Modell
1809,-,B-No Tag
1809,Weiß,B-Farbe
1809,-,B-No Tag
1809,Herren,B-Abteilung
1809,Sneaker,B-Stil
1809,-,B-No Tag
1809,City Design,B-Produktlinie
1809,-,B-No Tag
1809,Neu,I-No Tag
1809,/,I-No Tag
1809,OVP,I-No Tag
1810,TBS,B-Marke
1810,Schuhe,B-Produktart
1810,CROCKY,B-Modell
1810,Touareg,B-Produktlinie
1810,Blau,B-Farbe
1810,Canvas,B-Gewebeart
1810,Sneakers,B-Stil
1810,Halbschuhe,B-Produktart
1810,Reduziert,B-No Tag
1810,SALE,I-No Tag
1811,LOWA,B-Marke
1811,MARIE GTX,B-Modell
1811,Damen,B-Abteilung
1811,Sneakers,B-Stil
1811,Gr,B-No Tag
1811,.37,B-EU-Schuhgröße
1811,Freizeitschuh Wanderschuh Halbschuhe,B-Produktart
1811,Comfort,B-No Tag
1812,Converse,B-Marke
1812,Chucks All Star,B-Produktlinie
1812,OX,B-Modell
1812,Größe,B-No Tag
1812,41,B-EU-Schuhgröße
1812,Red Rot,B-Farbe
1812,M9696C,B-Herstellernummer
1812,Neu,B-No Tag
1812,Mega,I-No Tag
1812,angesagt,I-No Tag
1813,Sneaker,B-Stil
1813,Herren,B-Abteilung
1813,45,B-EU-Schuhgröße
1813,",",B-No Tag
1813,großes,I-No Tag
1813,Paket,I-No Tag
1813,",",I-No Tag
1813,15,I-No Tag
1813,Paar,I-No Tag
1813,",",I-No Tag
1813,Nike,B-Marke
1813,",",B-No Tag
1813,Adidas,B-Marke
1813,",",B-No Tag
1813,Puma,B-Marke
1813,",",B-No Tag
1813,Fila,B-Marke
1813,",",B-No Tag
1813,Guess,B-Marke
1813,usw,B-No Tag
1813,.,I-No Tag
1814,Converse,B-Marke
1814,Schuhe,B-Produktart
1814,All Star,B-Produktlinie
1814,Ox,B-Modell
1814,Weiß,B-Farbe
1814,M7652C,B-Herstellernummer
1814,Sneakers,B-Stil
1814,Chucks,B-Produktlinie
1814,Weiß,B-Farbe
1814,Gr,B-No Tag
1814,.,I-No Tag
1814,"42,5",B-EU-Schuhgröße
1815,Acne Studios,B-Marke
1815,Kobe,B-Modell
1815,Damen,B-Abteilung
1815,Sneaker,B-Stil
1815,Schuhe,B-Produktart
1815,Weiß,B-Farbe
1815,Gr,B-No Tag
1815,.40,B-EU-Schuhgröße
1815,Sehr,B-No Tag
1815,guter,I-No Tag
1815,Zustand,I-No Tag
1816,TOP,B-Schuhschaft-Typ
1816,ADIDAS,B-Marke
1816,DROP STEP,B-Modell
1816,MID,B-Schuhschaft-Typ
1816,Herrenschuhe,B-Abteilung
1816,Turnschuhe,B-Produktart
1816,Sneaker,B-Stil
1816,HIGH TOP,B-Schuhschaft-Typ
1816,Schwarz,B-Farbe
1817,Nike,B-Marke
1817,Air Vapormax,B-Produktlinie
1817,EVO,B-Modell
1817,Gr,B-No Tag
1817,.,I-No Tag
1817,wählbar,I-No Tag
1817,Neu,I-No Tag
1817,&,I-No Tag
1817,OVP,I-No Tag
1817,CT2868 100 143,B-Herstellernummer
1818,Bugatti,B-Marke
1818,Schuhe,B-Produktart
1818,STOWE,B-Modell
1818,blau,B-Farbe
1818,Herrenschuhe,B-Abteilung
1818,Sneakers,B-Stil
1818,331-A7M02-1469 4141,B-Herstellernummer
1818,NEU,B-No Tag
1819,Jugendliche,B-Abteilung
1819,Schuhe,B-Produktart
1819,adidas,B-Marke
1819,STAN SMITH,B-Produktlinie
1819,J,B-Modell
1819,B32703,B-Herstellernummer
1820,New Balance,B-Marke
1820,U574TZ2,B-Modell
1820,Classic,B-Produktlinie
1820,Herren,B-Abteilung
1820,Sneaker,B-Stil
1820,Sportschuhe,B-Produktart
1820,NEU,B-No Tag
1821,Gola,B-Marke
1821,Boston 78 Snake,B-Modell
1821,Damen,B-Abteilung
1821,Navy Sage,B-Farbe
1821,Sneaker,B-Stil
1821,Mode,B-No Tag
1821,-,I-No Tag
1821,39 EU,B-EU-Schuhgröße
1822,PUMA,B-Marke
1822,Sneaker,B-Stil
1822,42,B-EU-Schuhgröße
1822,Canvas,B-Gewebeart
1822,Ibiza,B-Modell
1822,Unisex,B-Abteilung
1822,Schwarz,B-Farbe
1822,Freizeitschuh,B-Produktart
1822,Fitness,B-Aktivität
1822,Turnschuh,B-Produktart
1822,NEU,B-No Tag
1823,Skechers,B-Marke
1823,FLEX,B-Produktlinie
1823,ADVANTAGE 2.0 GURN,B-Modell
1823,Herren,B-Abteilung
1823,Schuhe,B-Produktart
1823,Sneaker,B-Stil
1823,52183,B-Herstellernummer
1823,(,B-No Tag
1823,Grau-CCBK,B-Farbe
1823,),B-No Tag
1824,adidas,B-Marke
1824,Equipment EQT Support,B-Produktlinie
1824,Ultra CNY Chinese New Year,B-Modell
1824,-,B-No Tag
1824,BA7777,B-Herstellernummer
1824,Herren,B-Abteilung
1824,Sneaker,B-Stil
1825,Adidas,B-Marke
1825,EQT,B-Produktlinie
1825,2/3 F15 OG,B-Modell
1825,-,B-No Tag
1825,EU 42,B-EU-Schuhgröße
1825,-,B-No Tag
1825,"US 8,5",B-US-Schuhgröße
1825,-,B-No Tag
1825,Neu,I-No Tag
1825,-,I-No Tag
1826,Fila,B-Marke
1826,Sneaker,B-Stil
1826,Stoff,B-Obermaterial
1826,Grau,B-Farbe
1826,/,B-No Tag
1826,Weiss,B-Farbe
1826,Gr,B-No Tag
1826,.,I-No Tag
1826,39,B-EU-Schuhgröße
1827,LACOSTE,B-Marke
1827,Court Legacy NWP SPM,B-Modell
1827,Herren,B-Abteilung
1827,Sneaker,B-Stil
1827,Turnschuhe,B-Produktart
1827,Grau,B-Farbe
1827,7-29SPM0379270,B-Herstellernummer
1828,Converse,B-Marke
1828,Chuck Taylor All Star,B-Produktlinie
1828,High,B-Schuhschaft-Typ
1828,166264c,B-Herstellernummer
1828,Neon Orange Bright Crimson,B-Farbe
1829,K-Swiss,B-Marke
1829,Hof II CVS VNZ,B-Modell
1829,Damen,B-Abteilung
1829,Sneaker,B-Stil
1829,Schuhe,B-Produktart
1829,02491012,B-Herstellernummer
1829,schwarz-blau,B-Farbe
1830,Skechers,B-Marke
1830,Bobs Squad,B-Produktlinie
1830,Sneaker,B-Stil
1830,|,B-No Tag
1830,navy,B-Farbe
1830,/,B-No Tag
1830,blau,B-Farbe
1830,|,B-No Tag
1830,Textil,B-Obermaterial
1830,|,B-No Tag
1830,Memory Foam,B-Zwischensohlen-Typ
1830,|,B-No Tag
1830,Größe,I-No Tag
1830,41,B-EU-Schuhgröße
1831,PUMA,B-Marke
1831,MERCEDES AMG,B-Produktlinie
1831,F1 DRIFT CAT DELTA,B-Modell
1831,Herren,B-Abteilung
1831,Grau,B-Farbe
1831,Schuhe,B-No Tag
1831,Freizeitschuhe,B-Produktart
1831,306852 02,B-Herstellernummer
1832,Hoka,B-Marke
1832,Cavu,B-Modell
1832,Damen,B-Abteilung
1832,Laufschuhe Sportschuhe,B-Produktart
1832,Jogging,B-Aktivität
1832,Schuhe,B-Produktart
1832,1019282,B-Herstellernummer
1832,BRMR,B-No Tag
1832,Gr,I-No Tag
1832,.,I-No Tag
1832,36,B-EU-Schuhgröße
1833,Adidas,B-Marke
1833,Equipment Support,B-Produktlinie
1833,ADV,B-Modell
1833,W,B-Abteilung
1833,"37 38 38,5 39 40",B-EU-Schuhgröße
1833,BB2328,B-Herstellernummer
1833,iniki,B-Farbe
1833,nmd,B-Produktlinie
1833,93,B-Modell
1833,EQT,B-Produktlinie
1834,New Balance,B-Marke
1834,MRL996MP,B-Herstellernummer
1834,"40 41 42 44 44,5 45",B-EU-Schuhgröße
1834,mrl 996 MP,B-Modell
1834,Suede Leather,B-Obermaterial
1834,Classic,B-Produktlinie
1834,576,B-Modell
1835,Adidas,B-Marke
1835,Vespa,B-Modell
1835,Sneaker,B-Stil
1835,--,B-No Tag
1835,grau,B-Farbe
1835,/,B-No Tag
1835,grün,B-Farbe
1835,--,B-No Tag
1835,"US 10,5",B-US-Schuhgröße
1835,/,B-No Tag
1835,UK10,B-UK-Schuhgröße
1835,--,B-No Tag
1835,gebraucht,I-No Tag
1835,guter,I-No Tag
1835,Zustand,I-No Tag
1835,--,I-No Tag
1835,KULT,I-No Tag
1835,!,I-No Tag
1836,asics,B-Marke
1836,Jolt 3,B-Modell
1836,1011B034-006,B-Herstellernummer
1837,Nike,B-Marke
1837,SHOX,B-Produktlinie
1837,TL,B-Modell
1837,Sneaker,B-Stil
1837,Schuhe,B-Produktart
1837,Grau Orange,B-Farbe
1837,Mens,B-Abteilung
1837,AV3595-101,B-Herstellernummer
1838,Damen,B-Abteilung
1838,Bequeme,B-No Tag
1838,Sneaker,B-Stil
1838,Turnschuhe Laufschuhe,B-Produktart
1838,Socken,B-Stil
1838,Schuhe Freizeitschuhe,B-Produktart
1838,Trendy,B-No Tag
1839,NIKE LAB,B-Marke
1839,SOCK DART SP #be true,B-Modell
1839,Gr,B-No Tag
1839,".42,5",B-EU-Schuhgröße
1839,UK .8,B-UK-Schuhgröße
1839,686058 019,B-Herstellernummer
1839,black white rainbow,B-Farbe
1840,Halbschuhe,B-Produktart
1840,Sneakers,B-Stil
1840,von,B-No Tag
1840,Café Noir,B-Marke
1840,in,B-No Tag
1840,Größe,I-No Tag
1840,38,B-EU-Schuhgröße
1840,.,B-No Tag
1840,ungetragen,I-No Tag
1840,!!!!!,I-No Tag
1840,Mit,I-No Tag
1840,Karton,I-No Tag
1840,!!!!!!,I-No Tag
1841,adidas,B-Marke
1841,Herren,B-Abteilung
1841,James,B-Modell
1841,gehärtet,B-No Tag
1841,Vol 1,B-Modell
1841,Basketball-Schuh Sportschuhe,B-Produktart
1841,NEU,B-No Tag
1841,bw0546 UK,B-Herstellernummer
1842,Nike,B-Marke
1842,Dunk,B-Produktlinie
1842,Low,B-Schuhschaft-Typ
1842,Sb,B-Produktlinie
1842,St. Patricks Day,B-Modell
1842,EU44,B-EU-Schuhgröße
1842,US 10,B-US-Schuhgröße
1842,|,B-No Tag
1842,NEU,I-No Tag
1842,&,I-No Tag
1842,Ungetragen,I-No Tag
1842,|,I-No Tag
1842,Händler,I-No Tag
1843,Converse,B-Marke
1843,One Star,B-Produktlinie
1843,Schwarz,B-Farbe
1843,Leder,B-Obermaterial
1843,Sneaker,B-Stil
1843,Gr,B-No Tag
1843,.44,B-EU-Schuhgröße
1843,US 10,B-US-Schuhgröße
1844,Neu,B-No Tag
1844,Speedcross 3,B-Modell
1844,Herren,B-Abteilung
1844,Outdoorschuhe Laufschuhe,B-Produktart
1844,Cross,B-Aktivität
1844,Schuhe Hikingschuhe,B-Produktart
1844,40-47,B-EU-Schuhgröße
1845,Nike,B-Marke
1845,Herren,B-Abteilung
1845,Laufschuh 6 NN,B-Produktart
1845,/,B-No Tag
1845,white-iron grey,B-Farbe
1846,Pantofola d'Oro,B-Marke
1846,Ascoli Botanica,B-Modell
1847,Nike,B-Marke
1847,Dunk,B-Produktlinie
1847,High,B-Schuhschaft-Typ
1847,Championship,B-Modell
1847,Navy,B-Farbe
1847,GS,B-Abteilung
1847,Sneaker,B-Stil
1847,DB2179-104,B-Herstellernummer
1847,NEU,B-No Tag
1847,Damenschuhe,B-Abteilung
1848,PUMA,B-Marke
1848,Kaia Platform L,B-Modell
1848,Damen,B-Abteilung
1848,Sneaker,B-Stil
1848,Frauen,B-Abteilung
1848,Schuhe,B-Produktart
1848,Basics,B-Produktlinie
1848,Neu,B-No Tag
1849,Boxfresh,B-Marke
1849,SWAPP FUR,B-Modell
1849,Herren,B-Abteilung
1849,Winter,B-Jahreszeit
1849,Sneaker,B-Stil
1849,Schuhe,B-Produktart
1849,LEA WWXY,B-Modell
1849,E-BFM0186GA1,B-Herstellernummer
1849,grau,B-Farbe
1850,New Balance,B-Marke
1850,Herren,B-Abteilung
1850,Sneaker,B-Stil
1850,500,B-Modell
1850,burgundy,B-Farbe
1851,AJ4,B-Produktlinie
1851,Lila-rot,B-Farbe
1851,Freizeitsportschuhe,B-Obscure
1851,Metallic,B-Farbe
1851,(,B-No Tag
1851,CT8527-114,B-Herstellernummer
1851,),B-No Tag
1851,Fashion,I-No Tag
1851,Damen,B-Abteilung
1851,Herren,I-Abteilung
1851,DE,B-Herstellungsland und -region
1852,Nike,B-Marke
1852,Air Force 1,B-Produktlinie
1852,'07,B-Modell
1852,-,B-No Tag
1852,Kinder,B-Abteilung
1852,Sneaker,B-Stil
1853,Asics,B-Marke
1853,Damen,B-Abteilung
1853,Gel-Kayano,B-Produktlinie
1853,28 Lite-Show,B-Modell
1853,Turnschuhe Laufschuhe,B-Produktart
1853,Sneaker,B-Stil
1854,adidas,B-Marke
1854,UltraBoost,B-Produktlinie
1854,20,B-Modell
1854,Sneaker,B-Stil
1854,Laufschuhe,B-Produktart
1854,Parley,B-Produktlinie
1854,Weiß Blau,B-Farbe
1854,(,B-No Tag
1854,FV8324,B-Herstellernummer
1854,),B-No Tag
1854,NEU,I-No Tag
1855,New Balance,B-Marke
1855,Damen,B-Abteilung
1855,997h,B-Modell
1855,',B-No Tag
1855,Sneaker,B-Stil
1856,ADIDAS,B-Marke
1856,ZX FLUX,B-Modell
1856,W,B-Abteilung
1856,BY9214,B-Herstellernummer
1856,DAMEN,B-Abteilung
1856,LAUFEN,B-Aktivität
1856,SNEAKER,B-Stil
1856,TURNSCHUHE,B-Produktart
1856,SPORT,B-Anlass
1856,WEISS ROSA,B-Farbe
1856,NEU,B-No Tag
1857,REEBOK,B-Marke
1857,AZTEC OG,B-Modell
1857,NEU,B-No Tag
1857,Vintage Retro,B-Thema
1857,RAR,B-No Tag
1857,blau,B-Farbe
1857,atmos patta,B-Modell
1857,max,B-Produktlinie
1857,supreme,B-Modell
1857,boost,B-Produktlinie
1858,Bugatti,B-Marke
1858,Sneaker,B-Stil
1858,321924016900 4100,B-Herstellernummer
1858,Dark Blue Blau,B-Farbe
1858,Mesh,B-Gewebeart
1858,Halbschuh,B-Produktart
1858,Gummisenkel,B-Besonderheiten
1859,Damen,B-Abteilung
1859,Sneaker,B-Stil
1859,Slip,B-Verschluss
1859,Ons,B-Marke
1859,Prints,B-Akzente
1859,Wildleder-Optik,B-Obermaterial
1859,Slippers,B-No Tag
1859,821351,B-Herstellernummer
1859,Schuhe,B-Produktart
1860,Diadora,B-Marke
1860,Herren,B-Abteilung
1860,Flamingo 4 WIN,B-Modell
1860,Laufschuh,B-Produktart
1860,Unisex,B-Abteilung
1860,Sneaker,B-Stil
1860,grau,B-Farbe
1861,Tommy Hilfiger,B-Marke
1861,Leder,B-Obermaterial
1861,Sneaker,B-Stil
1861,Leon 5A,B-Modell
1861,Black,B-Farbe
1861,Gr,B-No Tag
1861,.,I-No Tag
1861,43,B-EU-Schuhgröße
1861,Neu,B-No Tag
1861,&,I-No Tag
1861,Ovp,I-No Tag
1862,[,B-No Tag
1862,FILA,B-Marke
1862,],B-No Tag
1862,Sneaker,B-Stil
1862,Turnschuhe,B-Produktart
1862,Gr,B-No Tag
1862,.,I-No Tag
1862,40,B-EU-Schuhgröße
1863,Nike,B-Marke
1863,Air Max Command,B-Produktlinie
1863,Leather,B-Obermaterial
1863,Herren,B-Abteilung
1863,Sneaker,B-Stil
1863,Schuhe,B-Produktart
1863,Echtleder,B-Obermaterial
1863,Classic,B-Produktlinie
1863,749760-012,B-Herstellernummer
1864,New Balance,B-Marke
1864,574,B-Modell
1864,Herren,B-Abteilung
1864,Sneaker,B-Stil
1864,low,B-Schuhschaft-Typ
1864,Freizeitschuh Halbschuh,B-Produktart
1864,Leder,B-Obermaterial
1864,Mesh,B-Gewebeart
1864,Gummisohl,B-Laufsohlenmaterial
1865,Sixtyseven,B-Marke
1865,Schuh,B-Produktart
1865,Weiß,B-Farbe
1865,30259-C47894,B-Herstellernummer
1865,Damen,B-Abteilung
1865,Sneaker,B-Stil
1865,Wechselfußbett,B-Besonderheiten
1865,REDUZIERT,B-No Tag
1865,!!,I-No Tag
1866,Nike,B-Marke
1866,Air Force 1,B-Produktlinie
1866,'07 LV8,B-Modell
1866,Weiß,B-Farbe
1866,Herrenschuh Damenschuh,B-Produktart
1866,DV3501-100,B-Herstellernummer
1867,FILA,B-Marke
1867,NEU,B-No Tag
1867,Große,I-No Tag
1867,41,B-EU-Schuhgröße
1867,Disrupter,B-Produktlinie
1867,Damenschuhe,B-Abteilung
1867,Frauen,I-Abteilung
1867,Weiß,B-Farbe
1867,820067,B-Herstellernummer
1867,Sneaker,B-Stil
1867,Neu,B-No Tag
1867,mit,I-No Tag
1867,Karto,I-No Tag
1868,Asics,B-Marke
1868,Herren,B-Abteilung
1868,Gel-Kayano,B-Produktlinie
1868,28,B-Modell
1868,Turnschuhe Laufschuhe,B-Produktart
1868,Sneaker,B-Stil
1868,Blau Gelb,B-Farbe
1868,Sport,B-Anlass
1869,Nike,B-Marke
1869,Air Max,B-Produktlinie
1869,Plus,B-Modell
1869,University Blue,B-Farbe
1869,Nature,B-Produktlinie
1869,DV3439 001,B-Herstellernummer
1869,Sneaker,B-Stil
1869,Schuhe Sportschuhe,B-Produktart
1870,NEW,B-No Tag
1870,Air Jordan 1,B-Produktlinie
1870,High,B-Schuhschaft-Typ
1870,OG,B-Modell
1870,University Blue,B-Farbe
1870,555088-134,B-Herstellernummer
1870,Unisex,B-Abteilung
1871,Damen,B-Abteilung
1871,Ballerinas,B-Stil
1871,Sportliche,B-Anlass
1871,Stoffschuhe,B-Produktart
1871,Slipper,B-No Tag
1871,79659,B-Herstellernummer
1871,Mode,B-No Tag
1872,Nike,B-Marke
1872,Air Force 1,B-Produktlinie
1872,low,B-Schuhschaft-Typ
1872,Weiß,B-Farbe
1872,Herrenschuh,B-Produktart
1872,Neu,B-No Tag
1873,VANS,B-Marke
1873,Filmore Retro,B-Modell
1873,Sport,B-Anlass
1873,Sneaker,B-Stil
1873,Skater,B-Aktivität
1873,Unisex,B-Abteilung
1873,canvas,B-Gewebeart
1873,/,B-No Tag
1873,Leder,B-Obermaterial
1873,Sneaker,B-Stil
1873,rot,B-Farbe
1874,LACOSTE,B-Marke
1874,La Piquee 120,B-Modell
1874,Weiss,B-Farbe
1874,739CMA0023082,B-Herstellernummer
1874,Herren,B-Abteilung
1874,Fashion,B-No Tag
1874,Freizeitschuhe,B-Produktart
1874,Neu,B-No Tag
1875,New Balance,B-Marke
1875,W480LE6,B-Modell
1875,Laufschuhe,B-Produktart
1875,Running,B-Aktivität
1875,Lifestyle,B-No Tag
1875,Sneaker,B-Stil
1875,B6,B-No Tag
1875,/,I-No Tag
1875,165,I-No Tag
1875,blau,B-Farbe
1875,Gr,B-No Tag
1875,.,I-No Tag
1875,"37,5",B-EU-Schuhgröße
1876,Emerica,B-Marke
1876,The Romero,B-Modell
1876,Laced,B-Verschluss
1876,dark blue,B-Farbe
1876,/,B-No Tag
1876,gum,B-Farbe
1876,Skater,B-Aktivität
1876,Sneaker,B-Stil
1876,/,B-No Tag
1876,Schuhe,B-Produktart
1876,blau,B-Farbe
1877,ADIDAS,B-Marke
1877,Turnschuhe Tennisschuhe,B-Produktart
1877,Sneaker,B-Stil
1877,weiss,B-Farbe
1877,Gr,B-No Tag
1877,.,I-No Tag
1877,42 2/3,B-EU-Schuhgröße
1877,(,B-No Tag
1877,"8,5",B-UK-Schuhgröße
1877,),B-No Tag
1878,Petrolio,B-Marke
1878,Herren,B-Abteilung
1878,Schuhe,B-Produktart
1878,Sneaker,B-Stil
1878,Freizeitschuh Schnürschuhe,B-Produktart
1878,Leder,B-Obermaterial
1878,Grau,B-Farbe
1879,Wasserschuhe,B-Produktart
1879,Aqua,B-Aktivität
1879,Sock,B-Stil
1879,Yoga Übung,B-Aktivität
1879,Pool,B-Anlass
1879,Strand,I-Anlass
1879,Tanz Schwimmen,B-Aktivität
1879,Slip ape,B-Verschluss
1880,Adidas,B-Marke
1880,ZX Flux,B-Modell
1880,W,B-Abteilung
1880,Türkis,B-Farbe
1880,Bunt,B-No Tag
1880,Damen,B-Abteilung
1880,Low-Top,B-Schuhschaft-Typ
1880,Sneakers,B-Stil
1880,Freizeitschuhe,B-Produktart
1880,Casual,B-Anlass
1880,Schuhe,B-Produktart
1881,adidas,B-Marke
1881,SL 72 S.W.,B-Modell
1881,Star Wars,B-Charakter Familie
1881,Han Solo,B-Charakter
1881,in,B-No Tag
1881,43 1/3,B-EU-Schuhgröße
1881,UK 9,B-UK-Schuhgröße
1881,US 9.5,B-US-Schuhgröße
1881,neu,B-No Tag
1881,BNWT,I-No Tag
1881,G17448,B-Herstellernummer
1882,Skechers,B-Marke
1882,Summits-South Rim,B-Modell
1882,Herren,B-Abteilung
1882,Schuhe,B-Produktart
1882,Sneaker,B-Stil
1882,Turnschuhe,B-Produktart
1882,52812,B-Herstellernummer
1882,(,B-No Tag
1882,Schwarz-BBK,B-Farbe
1882,),B-No Tag
1883,Adidas,B-Marke
1883,Japan,B-Modell
1883,Sneaker,B-Stil
1883,Freizeitschuhe Laufschuhe Sportschuhe,B-Produktart
1883,Neu,B-No Tag
1883,Größe,I-No Tag
1883,40,B-EU-Schuhgröße
1884,LACOSTE,B-Marke
1884,Herren,B-Abteilung
1884,Menerva,B-Modell
1884,Sport,B-Anlass
1884,Joggingschuhe,B-Produktart
1884,Sneaker,B-Stil
1884,Weiß,B-Farbe
1885,Nike,B-Marke
